年份	CO2浓度
1958.0000	315.1490
1958.0833	316.5419
1958.1667	317.9590
1958.2500	318.7069
1958.3333	317.8612
1958.4167	316.8464
1958.5000	315.9738
1958.5833	314.3136
1958.6667	312.9277
1958.7500	312.9128
1958.8333	313.0962
1958.9167	314.2769
1959.0000	316.0726
1959.0833	317.0093
1959.1667	318.2473
1959.2500	319.0813
1959.3333	318.6276
1959.4167	318.0109
1959.5000	316.2276
1959.5833	314.6596
1959.6667	314.5083
1959.7500	313.6823
1959.8333	314.2555
1959.9167	314.9892
1960.0000	316.8367
1960.0833	318.6166
1960.1667	319.4194
1960.2500	320.3627
1960.3333	319.7512
1960.4167	318.8292
1960.5000	317.3195
1960.5833	316.6390
1960.6667	315.0645
1960.7500	314.4327
1960.8333	315.4820
1960.9167	316.0504
1961.0000	318.0627
1961.0833	318.9954
1961.1667	320.3663
1961.2500	321.3091
1961.3333	321.1529
1961.4167	319.9681
1961.5000	318.4653
1961.5833	316.9930
1961.6667	315.6250
1961.7500	315.5340
1961.8333	316.0971
1961.9167	317.7338
1962.0000	319.1031
1962.0833	320.0544
1962.1667	321.8620
1962.2500	322.1345
1962.3333	321.7283
1962.4167	321.1002
1962.5000	319.8093
1962.5833	318.3627
1962.6667	316.8168
1962.7500	316.6572
1962.8333	317.3346
1962.9167	318.7093
1963.0000	319.8562
1963.0833	321.5276
1963.1667	322.4328
1963.2500	322.8911
1963.3333	323.1752
1963.4167	322.3235
1963.5000	320.4784
1963.5833	319.3844
1963.6667	318.1771
1963.7500	317.5565
1963.8333	318.3437
1963.9167	319.8781
1964.0000	320.9893
1964.0833	323.0527
1964.1667	322.9788
1964.2500	324.4966
1964.3333	323.9575
1964.4167	322.8270
1964.5000	321.5275
1964.5833	319.4871
1964.6667	319.0027
1964.7500	318.8571
1964.8333	319.6786
1964.9167	320.2612
1965.0000	321.7575
1965.0833	323.4328
1965.1667	325.0394
1965.2500	325.3486
1965.3333	324.7725
1965.4167	324.0706
1965.5000	322.5291
1965.5833	321.3739
1965.6667	319.8580
1965.7500	319.6517
1965.8333	320.1176
1965.9167	320.9776
1966.0000	323.0888
1966.0833	324.6616
1966.1667	325.7663
1966.2500	326.1796
1966.3333	325.5068
1966.4167	324.7905
1966.5000	323.3972
1966.5833	321.8427
1966.6667	321.0202
1966.7500	320.8712
1966.8333	321.8011
1966.9167	322.4690
1967.0000	324.0773
1967.0833	325.5610
1967.1667	326.1891
1967.2500	327.2420
1967.3333	326.9495
1967.4167	326.6556
1967.5000	324.4423
1967.5833	323.1738
1967.6667	322.0582
1967.7500	321.3994
1967.8333	322.5781
1967.9167	323.6422
1968.0000	325.2373
1968.0833	326.3105
1968.1667	328.1856
1968.2500	327.8294
1968.3333	328.1075
1968.4167	327.5738
1968.5000	325.2028
1968.5833	323.9134
1968.6667	323.0985
1968.7500	322.5990
1968.8333	322.7701
1968.9167	324.4372
1969.0000	325.6813
1969.0833	327.7254
1969.1667	328.4889
1969.2500	329.7150
1969.3333	328.6964
1969.4167	327.8200
1969.5000	326.7441
1969.5833	324.7141
1969.6667	324.1368
1969.7500	324.1421
1969.8333	323.7530
1969.9167	325.4721
1970.0000	327.0780
1970.0833	328.8179
1970.1667	329.3937
1970.2500	329.8539
1970.3333	330.0880
1970.4167	329.0058
1970.5000	327.5751
1970.5833	326.1873
1970.6667	324.8646
1970.7500	324.8197
1970.8333	325.3232
1970.9167	326.2024
1971.0000	328.5597
1971.0833	329.7255
1971.1667	330.4074
1971.2500	331.4470
1971.3333	330.6390
1971.4167	330.1528
1971.5000	328.8476
1971.5833	326.8371
1971.6667	326.3576
1971.7500	325.8738
